Bug 1,Bug 2,Carbon,1 on 2: Effect,1 on 2: 25th Percentile,1 on 2: 75th Percentile,1 on 2: Replicates,2 on 1: Effect,2 on 1: 25th Percentile,2 on 1: 75th Percentile,2 on 1: Replicates,Class,Type,Strength
PAg1,RP2,ArabinoseD,0,-0.562193409,0,8,0,0,0,7,Neutralism,NaN,0
PAg1,RP1,ArabinoseD,0,0,0,4,0,0,0,9,Neutralism,NaN,0
PAg1,SF1,ArabinoseD,0,0,0,4,0,0,0.316066704,4,Neutralism,NaN,0
PAg1,BI,ArabinoseD,0,0,0,4,0,0,0,5,Neutralism,NaN,0
PAg1,KA,ArabinoseD,NaN,NaN,NaN,2,0,0,0,8,Inconclusive,NaN,NaN
PAg1,CF,ArabinoseD,0,0,0,7,0,0,0,7,Neutralism,NaN,0
PAg1,EC,ArabinoseD,0,0,0.062161855,6,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
PAg1,EA,ArabinoseD,0,0,0,7,0,0,0,3,Neutralism,NaN,0
PAg1,PK,ArabinoseD,0.702498012,0.217534046,1.064810882,4,0,0,0,5,Commensalism,45,0.702498012
PAg1,PR1,ArabinoseD,0,0,0,4,0,0,0,9,Neutralism,NaN,0
PAg1,PAr,ArabinoseD,0,0,0,9,0,0,0,8,Neutralism,NaN,0
PAg1,PR2,ArabinoseD,0,0,0,14,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
PAg1,PH,ArabinoseD,0,0,0,4,0,0,0,6,Neutralism,NaN,0
PAg1,PP,ArabinoseD,0,0,0,20,0,0,0,4,Neutralism,NaN,0
PAg3,PAl,ArabinoseD,0,0,0,8,0,0,0,6,Neutralism,NaN,0
PAg3,PAg2,ArabinoseD,-0.352347361,-0.829357077,0.189883124,10,0.700196539,0.059323902,1.142397028,4,Commensalism,18.28790689,0.783851935
PAg3,PAg1,ArabinoseD,0,0,0,7,0,0,0,8,Neutralism,NaN,0
PAg3,PAg3,ArabinoseD,0,0,0,4,0,0,0,4,Neutralism,NaN,0
PAg3,LA,ArabinoseD,0,0,0,8,0,0,0,10,Neutralism,NaN,0
PAg3,EL,ArabinoseD,0,0,0,6,0,0,0,5,Neutralism,NaN,0
PAg3,RP2,ArabinoseD,0,0,0.643745564,3,0,0,0,6,Neutralism,NaN,0
PAg3,RP1,ArabinoseD,NaN,NaN,NaN,0,0,0,0,4,Inconclusive,NaN,NaN
PAg3,SF1,ArabinoseD,0,0,0,12,0,0,0,6,Neutralism,NaN,0
PAg3,BI,ArabinoseD,0,0,1.740994947,3,0,0,0,10,Neutralism,NaN,0
PAg3,KA,ArabinoseD,0,0,0,5,0,0,0,9,Neutralism,NaN,0
PAg3,CF,ArabinoseD,0,0,0,9,0,0,0,3,Neutralism,NaN,0
PAg3,EC,ArabinoseD,0,0,0,7,0,0,0,6,Neutralism,NaN,0
PAg3,EA,ArabinoseD,0,0,0,7,0,0,0,11,Neutralism,NaN,0
PAg3,PK,ArabinoseD,0.09440029,0,0.192395528,12,0,0,0,5,Neutralism,45,0.09440029
PAg3,PR1,ArabinoseD,0,0,0,7,0,0,0,6,Neutralism,NaN,0
PAg3,PAr,ArabinoseD,0,0,0,7,0,0,0,6,Neutralism,NaN,0
PAg3,PR2,ArabinoseD,0,0,0,10,0,0,0,8,Neutralism,NaN,0
PAg3,PH,ArabinoseD,0,0,0,6,0,0,0,5,Neutralism,NaN,0
PAg3,PP,ArabinoseD,0,0,0,10,0,0,0,6,Neutralism,NaN,0
LA,PAl,ArabinoseD,0,0,0,5,0.806290211,0.384894843,1.164122393,6,Commensalism,45,0.806290211
LA,PAg2,ArabinoseD,-0.590360014,-1.010526523,-0.159135408,10,0.97046538,0.740470311,1.895411741,6,Parasitism,13.68673363,1.135926054
LA,PAg1,ArabinoseD,0,0,0,4,0,0,0,5,Neutralism,NaN,0
LA,PAg3,ArabinoseD,0,0,0,10,0,0,0,8,Neutralism,NaN,0
LA,LA,ArabinoseD,0,0,0,9,0,0,0,9,Neutralism,NaN,0
LA,EL,ArabinoseD,0,0,0,5,0,0,0,8,Neutralism,NaN,0
LA,RP2,ArabinoseD,0,0,0,7,0,0,0,9,Neutralism,NaN,0
LA,RP1,ArabinoseD,0.650772692,0.317761407,0.673414741,4,0,0,0,10,Commensalism,45,0.650772692
LA,SF1,ArabinoseD,0,0,0,6,0,0,0,11,Neutralism,NaN,0
LA,BI,ArabinoseD,0,0,0,9,0,0,0.034118425,3,Neutralism,NaN,0
LA,KA,ArabinoseD,0,0,0,7,0,0,0,4,Neutralism,NaN,0
LA,CF,ArabinoseD,0,0,0,7,0,0,0,11,Neutralism,NaN,0
LA,EC,ArabinoseD,0,0,0.061283389,6,0,0,0,7,Neutralism,NaN,0
LA,EA,ArabinoseD,0,0,0,10,0,0,0,6,Neutralism,NaN,0
LA,PK,ArabinoseD,0,0,0,4,0,0,0,8,Neutralism,NaN,0
LA,PR1,ArabinoseD,0,0,0,9,0,0,0,6,Neutralism,NaN,0
LA,PAr,ArabinoseD,0,0,0,11,0,0,0,9,Neutralism,NaN,0
LA,PR2,ArabinoseD,0,0,0,7,0,0,0,9,Neutralism,NaN,0
LA,PH,ArabinoseD,0,0,0,5,0,0,0,8,Neutralism,NaN,0
LA,PP,ArabinoseD,0,0,0,11,0,0,0,6,Neutralism,NaN,0
EL,PAl,ArabinoseD,0,0,0,8,0,0,0.407752046,10,Neutralism,NaN,0
EL,PAg2,ArabinoseD,-2.3538771,-2.918099142,-1.838397147,6,0.555210484,0,0.657081905,8,Neutralism,-31.72818497,2.418469781
EL,PAg1,ArabinoseD,0,0,0,5,0,0,0,9,Neutralism,NaN,0
EL,PAg3,ArabinoseD,0,0,0,5,0,0,0,6,Neutralism,NaN,0
EL,LA,ArabinoseD,0,0,0,8,0,0,0,5,Neutralism,NaN,0
EL,EL,ArabinoseD,0,0,0.036394946,9,0,0,0.036394946,9,Neutralism,NaN,0
EL,RP2,ArabinoseD,0,-0.380321455,0,4,0,0,0,11,Neutralism,NaN,0
EL,RP1,ArabinoseD,0,0,0,6,0,0,0,7,Neutralism,NaN,0
EL,SF1,ArabinoseD,0,0,0,13,0,0,0,7,Neutralism,NaN,0
EL,BI,ArabinoseD,0,0,0,11,0,0,0.242137762,5,Neutralism,NaN,0
EL,KA,ArabinoseD,0,0,0,6,0,0,0,13,Neutralism,NaN,0
EL,CF,ArabinoseD,0,0,0,8,0,0,0,6,Neutralism,NaN,0
EL,EC,ArabinoseD,0,0,0,6,0,0,0,3,Neutralism,NaN,0
EL,EA,ArabinoseD,0.310603825,0.310603825,3.743527506,3,0,0,0.164171773,6,Commensalism,45,0.310603825
EL,PK,ArabinoseD,0.166716923,0,0.532378708,7,0.036564879,0,0.085585692,9,Neutralism,57.37042228,0.170679591
EL,PR1,ArabinoseD,0,0,0,5,0,0,0,6,Neutralism,NaN,0
EL,PAr,ArabinoseD,0,0,0,7,0,0,0,9,Neutralism,NaN,0
EL,PR2,ArabinoseD,0,0,0,16,0,0,0,9,Neutralism,NaN,0
EL,PH,ArabinoseD,0,0,0,7,0,0,0,9,Neutralism,NaN,0
EL,PP,ArabinoseD,0,0,0,8,0,0,0,12,Neutralism,NaN,0
RP2,PAl,ArabinoseD,0,0,0,12,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
RP2,PAg2,ArabinoseD,-0.234546798,-0.603078568,0.26692976,15,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
RP2,PAg1,ArabinoseD,0,0,0,7,0,-0.562193409,0,8,Neutralism,NaN,0
RP2,PAg3,ArabinoseD,0,0,0,6,0,0,0.643745564,3,Neutralism,NaN,0
RP2,LA,ArabinoseD,0,0,0,9,0,0,0,7,Neutralism,NaN,0
RP2,EL,ArabinoseD,0,0,0,11,0,-0.380321455,0,4,Neutralism,NaN,0
RP2,RP2,ArabinoseD,NaN,NaN,NaN,1,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
RP2,RP1,ArabinoseD,0,0,0,6,0,-0.562193409,0,6,Neutralism,NaN,0
RP2,SF1,ArabinoseD,0,0,0,13,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
RP2,BI,ArabinoseD,0,0,0,5,0,-0.020751651,0.004827611,4,Neutralism,NaN,0
RP2,KA,ArabinoseD,NaN,NaN,NaN,1,0,-0.562193409,0,4,Inconclusive,NaN,NaN
RP2,CF,ArabinoseD,0,0,0,8,0,-0.562193409,0,3,Neutralism,NaN,0
RP2,EC,ArabinoseD,0,0,0,4,0,-0.241841747,0,4,Neutralism,NaN,0
RP2,EA,ArabinoseD,0,0,0,4,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
RP2,PK,ArabinoseD,0.888878597,0.668510143,1.204564003,4,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
RP2,PR1,ArabinoseD,0,0,0,6,0,-0.562193409,0,3,Neutralism,NaN,0
RP2,PAr,ArabinoseD,0,0,0,5,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
RP2,PR2,ArabinoseD,0,0,0,11,0,-0.336107004,0,3,Neutralism,NaN,0
RP2,PH,ArabinoseD,0,0,0,8,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
RP2,PP,ArabinoseD,0,0,0,7,0,-0.562193409,0,6,Neutralism,NaN,0
RP1,PAl,ArabinoseD,NaN,NaN,NaN,2,0,0,0,12,Inconclusive,NaN,NaN
RP1,PAg2,ArabinoseD,0.199137428,-0.220511503,0.665382368,14,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
RP1,PAg1,ArabinoseD,0,0,0,9,0,0,0,4,Neutralism,NaN,0
RP1,PAg3,ArabinoseD,0,0,0,4,NaN,NaN,NaN,0,Inconclusive,NaN,NaN
RP1,LA,ArabinoseD,0,0,0,10,0.650772692,0.317761407,0.673414741,4,Commensalism,45,0.650772692
RP1,EL,ArabinoseD,0,0,0,7,0,0,0,6,Neutralism,NaN,0
RP1,RP2,ArabinoseD,0,-0.562193409,0,6,0,0,0,6,Neutralism,NaN,0
RP1,RP1,ArabinoseD,0,0,0,3,0,0,0,3,Neutralism,NaN,0
RP1,SF1,ArabinoseD,0,0,0,3,0,0,0,5,Neutralism,NaN,0
RP1,BI,ArabinoseD,0,0,0,4,0,0,0,3,Neutralism,NaN,0
RP1,KA,ArabinoseD,0,0,0,3,0,0,0.147628089,5,Neutralism,NaN,0
RP1,CF,ArabinoseD,0,0,0,5,0,0,0.240097676,4,Neutralism,NaN,0
RP1,EC,ArabinoseD,0,0,0,6,0,0,0.324736106,5,Neutralism,NaN,0
RP1,EA,ArabinoseD,0,0,0,7,0,0,0,4,Neutralism,NaN,0
RP1,PK,ArabinoseD,0.622060491,0.378282876,0.987331806,6,NaN,NaN,NaN,0,Inconclusive,NaN,NaN
RP1,PR1,ArabinoseD,0,0,0,4,0,0,0.021169716,5,Neutralism,NaN,0
RP1,PAr,ArabinoseD,0,0,0,6,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
RP1,PR2,ArabinoseD,0,0,0,14,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
RP1,PH,ArabinoseD,0,0,0,5,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
RP1,PP,ArabinoseD,0,0,0,10,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
SF1,PAl,ArabinoseD,0,0,0.288680586,9,0,0,0,13,Neutralism,NaN,0
SF1,PAg2,ArabinoseD,-1.312927946,-1.822951582,-0.851679983,6,NaN,NaN,NaN,0,Inconclusive,NaN,NaN
SF1,PAg1,ArabinoseD,0,0,0.316066704,4,0,0,0,4,Neutralism,NaN,0
SF1,PAg3,ArabinoseD,0,0,0,6,0,0,0,12,Neutralism,NaN,0
SF1,LA,ArabinoseD,0,0,0,11,0,0,0,6,Neutralism,NaN,0
SF1,EL,ArabinoseD,0,0,0,7,0,0,0,13,Neutralism,NaN,0
SF1,RP2,ArabinoseD,NaN,NaN,NaN,2,0,0,0,13,Inconclusive,NaN,NaN
SF1,RP1,ArabinoseD,0,0,0,5,0,0,0,3,Neutralism,NaN,0
SF1,SF1,ArabinoseD,0,0,0,3,0,0,0,3,Neutralism,NaN,0
SF1,BI,ArabinoseD,0,0,0,7,0,0,0,5,Neutralism,NaN,0
SF1,KA,ArabinoseD,NaN,NaN,NaN,1,0,0,0,13,Inconclusive,NaN,NaN
SF1,CF,ArabinoseD,0,0,0,5,0,0,0,12,Neutralism,NaN,0
SF1,EC,ArabinoseD,NaN,NaN,NaN,2,0,0,0,11,Inconclusive,NaN,NaN
SF1,EA,ArabinoseD,0,0,0,10,0,0,0,7,Neutralism,NaN,0
SF1,PK,ArabinoseD,0,0,0.29007402,3,0,0,0,9,Neutralism,NaN,0
SF1,PR1,ArabinoseD,0,0,0,11,0,0,0,4,Neutralism,NaN,0
SF1,PAr,ArabinoseD,0,0,0,5,0,0,0,9,Neutralism,NaN,0
SF1,PR2,ArabinoseD,0,0,0,7,0,0,0,8,Neutralism,NaN,0
SF1,PH,ArabinoseD,0,0,0,6,0,0,0,6,Neutralism,NaN,0
SF1,PP,ArabinoseD,0,0,0,11,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
BI,PAl,ArabinoseD,0,0,0,6,0,0,0,9,Neutralism,NaN,0
BI,PAg2,ArabinoseD,-0.390698291,-0.834791838,0.043895063,8,0.967681164,0.400615282,1.169768516,9,Commensalism,23.01375858,1.043576537
BI,PAg1,ArabinoseD,0,0,0,5,0,0,0,4,Neutralism,NaN,0
BI,PAg3,ArabinoseD,0,0,0,10,0,0,1.740994947,3,Neutralism,NaN,0
BI,LA,ArabinoseD,0,0,0.034118425,3,0,0,0,9,Neutralism,NaN,0
BI,EL,ArabinoseD,0,0,0.242137762,5,0,0,0,11,Neutralism,NaN,0
BI,RP2,ArabinoseD,0,-0.020751651,0.004827611,4,0,0,0,5,Neutralism,NaN,0
BI,RP1,ArabinoseD,0,0,0,3,0,0,0,4,Neutralism,NaN,0
BI,SF1,ArabinoseD,0,0,0,5,0,0,0,7,Neutralism,NaN,0
BI,BI,ArabinoseD,0,0,0,7,0,0,0,7,Neutralism,NaN,0
BI,KA,ArabinoseD,0,0,0,5,0,0,0.082563695,5,Neutralism,NaN,0
BI,CF,ArabinoseD,0,0,0,8,0.27407975,0,0.454487599,6,Neutralism,45,0.27407975
BI,EC,ArabinoseD,0,0,0,6,0,0,0.231536539,9,Neutralism,NaN,0
BI,EA,ArabinoseD,0,0,0,7,0,0,0,11,Neutralism,NaN,0
BI,PK,ArabinoseD,1.465509604,1.280399802,1.645662349,8,0,0,0,5,Commensalism,45,1.465509604
BI,PR1,ArabinoseD,0,0,0,7,0,0,0.531503337,6,Neutralism,NaN,0
BI,PAr,ArabinoseD,0,0,0,5,0,0,0,4,Neutralism,NaN,0
BI,PR2,ArabinoseD,0,0,0,14,0,0,0,11,Neutralism,NaN,0
BI,PH,ArabinoseD,0,0,0,3,0,0,0,11,Neutralism,NaN,0
BI,PP,ArabinoseD,0,0,0,13,0,0,0,6,Neutralism,NaN,0
KA,PAl,ArabinoseD,0,0,0,16,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
KA,PAg2,ArabinoseD,-0.622903868,-0.991755543,-0.174094031,11,0.904254294,0.72315355,1.570490813,4,Parasitism,10.43862989,1.09803691
KA,PAg1,ArabinoseD,0,0,0,8,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
KA,PAg3,ArabinoseD,0,0,0,9,0,0,0,5,Neutralism,NaN,0
KA,LA,ArabinoseD,0,0,0,4,0,0,0,7,Neutralism,NaN,0
KA,EL,ArabinoseD,0,0,0,13,0,0,0,6,Neutralism,NaN,0
KA,RP2,ArabinoseD,0,-0.562193409,0,4,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
KA,RP1,ArabinoseD,0,0,0.147628089,5,0,0,0,3,Neutralism,NaN,0
KA,SF1,ArabinoseD,0,0,0,13,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
KA,BI,ArabinoseD,0,0,0.082563695,5,0,0,0,5,Neutralism,NaN,0
KA,KA,ArabinoseD,NaN,NaN,NaN,1,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
KA,CF,ArabinoseD,0,0,0,11,0,0,0,9,Neutralism,NaN,0
KA,EC,ArabinoseD,0.0821691,0,0.232493532,7,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
KA,EA,ArabinoseD,0,0,0,6,0,0,0,5,Neutralism,NaN,0
KA,PK,ArabinoseD,1.24360174,1.155277823,1.284316047,7,0.721650548,0,1.716391996,4,Neutralism,75.12619566,1.43781946
KA,PR1,ArabinoseD,0,0,0,4,0,0,0.682267758,3,Neutralism,NaN,0
KA,PAr,ArabinoseD,0,0,0.056246639,14,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
KA,PR2,ArabinoseD,0,0,0,7,0.038936907,0,0.22503736,4,Neutralism,45,0.038936907
KA,PH,ArabinoseD,0,0,0,7,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
KA,PP,ArabinoseD,0,0,0,5,0,0,0,3,Neutralism,NaN,0
CF,PAl,ArabinoseD,0,0,0,4,0,0,0,13,Neutralism,NaN,0
CF,PAg2,ArabinoseD,-0.859059813,-1.160095943,-0.312309322,9,0.045541509,0,0.325028002,4,Neutralism,-41.9654081,0.860266116
CF,PAg1,ArabinoseD,0,0,0,7,0,0,0,7,Neutralism,NaN,0
CF,PAg3,ArabinoseD,0,0,0,3,0,0,0,9,Neutralism,NaN,0
CF,LA,ArabinoseD,0,0,0,11,0,0,0,7,Neutralism,NaN,0
CF,EL,ArabinoseD,0,0,0,6,0,0,0,8,Neutralism,NaN,0
CF,RP2,ArabinoseD,0,-0.562193409,0,3,0,0,0,8,Neutralism,NaN,0
CF,RP1,ArabinoseD,0,0,0.240097676,4,0,0,0,5,Neutralism,NaN,0
CF,SF1,ArabinoseD,0,0,0,12,0,0,0,5,Neutralism,NaN,0
CF,BI,ArabinoseD,0.27407975,0,0.454487599,6,0,0,0,8,Neutralism,45,0.27407975
CF,KA,ArabinoseD,0,0,0,9,0,0,0,11,Neutralism,NaN,0
CF,CF,ArabinoseD,0,0,3.154595719,5,0,0,3.154595719,5,Neutralism,NaN,0
CF,EC,ArabinoseD,0,0,0,7,0,0,0,7,Neutralism,NaN,0
CF,EA,ArabinoseD,0,0,0,8,0,0,0,6,Neutralism,NaN,0
CF,PK,ArabinoseD,2.866301874,2.722057396,2.866301874,3,0,0,0,5,Commensalism,45,2.866301874
CF,PR1,ArabinoseD,0,0,0,7,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
CF,PAr,ArabinoseD,0,0,0,8,0,0,0,9,Neutralism,NaN,0
CF,PR2,ArabinoseD,0,0,0,9,0,0,0,6,Neutralism,NaN,0
CF,PH,ArabinoseD,NaN,NaN,NaN,1,0,0,0.536062706,4,Inconclusive,NaN,NaN
CF,PP,ArabinoseD,0,0,0,11,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
EC,PAl,ArabinoseD,0,0,0,5,0,0,0,6,Neutralism,NaN,0
EC,PAg2,ArabinoseD,-0.498423771,-0.942748632,-0.011123834,6,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
EC,PAg1,ArabinoseD,NaN,NaN,NaN,2,0,0,0.062161855,6,Inconclusive,NaN,NaN
EC,PAg3,ArabinoseD,0,0,0,6,0,0,0,7,Neutralism,NaN,0
EC,LA,ArabinoseD,0,0,0,7,0,0,0.061283389,6,Neutralism,NaN,0
EC,EL,ArabinoseD,0,0,0,3,0,0,0,6,Neutralism,NaN,0
EC,RP2,ArabinoseD,0,-0.241841747,0,4,0,0,0,4,Neutralism,NaN,0
EC,RP1,ArabinoseD,0,0,0.324736106,5,0,0,0,6,Neutralism,NaN,0
EC,SF1,ArabinoseD,0,0,0,11,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
EC,BI,ArabinoseD,0,0,0.231536539,9,0,0,0,6,Neutralism,NaN,0
EC,KA,ArabinoseD,NaN,NaN,NaN,2,0.0821691,0,0.232493532,7,Inconclusive,NaN,NaN
EC,CF,ArabinoseD,0,0,0,7,0,0,0,7,Neutralism,NaN,0
EC,EC,ArabinoseD,NaN,NaN,NaN,2,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
EC,EA,ArabinoseD,0,0,0,5,0,0,0,4,Neutralism,NaN,0
EC,PK,ArabinoseD,0.644941566,0.424155203,0.709657508,6,0.699250412,0.096706811,0.806493557,3,Mutualism,87.68636008,0.95126272
EC,PR1,ArabinoseD,0,0,0,5,0,0,0,3,Neutralism,NaN,0
EC,PAr,ArabinoseD,0,0,0,3,0,0,0,8,Neutralism,NaN,0
EC,PR2,ArabinoseD,0,0,0,6,0,0,0,9,Neutralism,NaN,0
EC,PH,ArabinoseD,NaN,NaN,NaN,1,0,0,0,5,Inconclusive,NaN,NaN
EC,PP,ArabinoseD,0,0,0,10,0,0,0,6,Neutralism,NaN,0
EA,PAl,ArabinoseD,0,0,0,7,0.272566042,0,0.360804581,9,Neutralism,45,0.272566042
EA,PAg2,ArabinoseD,-0.5467075,-1.212220078,-0.179175279,9,0,0,1.295277068,3,Amensalism,-45,0.5467075
EA,PAg1,ArabinoseD,0,0,0,3,0,0,0,7,Neutralism,NaN,0
EA,PAg3,ArabinoseD,0,0,0,11,0,0,0,7,Neutralism,NaN,0
EA,LA,ArabinoseD,0,0,0,6,0,0,0,10,Neutralism,NaN,0
EA,EL,ArabinoseD,0,0,0.164171773,6,0.310603825,0.310603825,3.743527506,3,Commensalism,45,0.310603825
EA,RP2,ArabinoseD,NaN,NaN,NaN,1,0,0,0,4,Inconclusive,NaN,NaN
EA,RP1,ArabinoseD,0,0,0,4,0,0,0,7,Neutralism,NaN,0
EA,SF1,ArabinoseD,0,0,0,7,0,0,0,10,Neutralism,NaN,0
EA,BI,ArabinoseD,0,0,0,11,0,0,0,7,Neutralism,NaN,0
EA,KA,ArabinoseD,0,0,0,5,0,0,0,6,Neutralism,NaN,0
EA,CF,ArabinoseD,0,0,0,6,0,0,0,8,Neutralism,NaN,0
EA,EC,ArabinoseD,0,0,0,4,0,0,0,5,Neutralism,NaN,0
EA,EA,ArabinoseD,0,0,0,5,0,0,0,5,Neutralism,NaN,0
